id,time,crime
Chukot,2014,1276
Chuvash,2014,1112
City of St. Petersburg,2014,1094
Dagestan,2014,464
Gorno-Altay,2014,2044
Ingush,2014,354
Irkutsk,2014,2200
Ivanovo,2014,1430
Kabardin-Balkar,2014,917
Kaliningrad,2014,1612
Kalmyk,2014,1029
Kaluga,2014,1668
Kamchatka,2014,1563
Karachay-Cherkess,2014,729
Karelia,2014,1998
Kemerovo,2014,2271
Khabarovsk,2014,2210
Khakass,2014,2602
Khanty-Mansiy,2014,1504
Kirov,2014,1692
Komi,2014,2388
Kostroma,2014,1221
Krasnodar,2014,1270
Krasnoyarsk,2014,1973
Kurgan,2014,2338
Kursk,2014,1185
Leningrad,2014,1102
Lipetsk,2014,1064
Magadan,2014,2064
Mariy-El,2014,1078
Mordovia,2014,1099
Moscow City,2014,1505
Moskva,2014,1268
Murmansk,2014,1676
Nenets,2014,1516
Nizhegorod,2014,1177
North Ossetia,2014,848
Novgorod,2014,2066
Novosibirsk,2014,1699
Omsk,2014,1468
Orel,2014,1522
Orenburg,2014,1377
Penza,2014,988
Perm',2014,1969
Primor'ye,2014,2523
Pskov,2014,1358
Rostov,2014,1274
Ryazan',2014,848
Sakha,2014,1121
Sakhalin,2014,2350
Samara,2014,1580
Saratov,2014,1090
Smolensk,2014,1423
Stavropol',2014,1197
Sverdlovsk,2014,1611
Tambov,2014,1077
Tatarstan,2014,1164
Tomsk,2014,1923
Tula,2014,809
Tuva,2014,2106
Tver',2014,1537
Tyumen',2014,2131
Udmurt,2014,1771
Ul'yanovsk,2014,1220
Vladimir,2014,1334
Volgograd,2014,1421
Vologda,2014,2052
Voronezh,2014,1448
Yamal-Nenets,2014,1669
Yaroslavl',2014,1220
Yevrey,2014,2046
Zabaykal'ye,2014,2953
Adygey,2015,1101
Altay,2015,2041
Amur,2015,2411
Arkhangel'sk,2015,1966
Astrakhan',2015,1448
Bashkortostan,2015,1742
Belgorod,2015,1019
Bryansk,2015,1409
Buryat,2015,2835
Chechnya,2015,248
Chelyabinsk,2015,2018
Chukot,2015,1617
Chuvash,2015,1268
City of St. Petersburg,2015,1084
Dagestan,2015,504
Gorno-Altay,2015,2480
Ingush,2015,369
Irkutsk,2015,2219
Ivanovo,2015,1465
Kabardin-Balkar,2015,1004
Kaliningrad,2015,1697
Kalmyk,2015,1135
Kaluga,2015,1804
Kamchatka,2015,1808
Karachay-Cherkess,2015,865
Karelia,2015,2487
Kemerovo,2015,2304
Khabarovsk,2015,2316
Khakass,2015,2568
Khanty-Mansiy,2015,1469
Kirov,2015,1986
Komi,2015,2780
Kostroma,2015,1427
Krasnodar,2015,1369
Krasnoyarsk,2015,2176
Kurgan,2015,2572
Kursk,2015,1271
Leningrad,2015,1143
Lipetsk,2015,1245
Magadan,2015,2248
Mariy-El,2015,1218
Mordovia,2015,1137
Moscow City,2015,1592
Moskva,2015,1226
Murmansk,2015,2428
Nenets,2015,1926
Nizhegorod,2015,1261
North Ossetia,2015,955
Novgorod,2015,2117
Novosibirsk,2015,1934
Omsk,2015,1554
Orel,2015,1542
Orenburg,2015,1540
Penza,2015,1022
Perm',2015,2209
Primor'ye,2015,2455
Pskov,2015,1687
Rostov,2015,1469
Ryazan',2015,915
Sakha,2015,1236
Sakhalin,2015,2310
Samara,2015,1538
Saratov,2015,1195
Smolensk,2015,1431
Stavropol',2015,1295
Sverdlovsk,2015,1669
Tambov,2015,1253
Tatarstan,2015,1349
Tomsk,2015,2148
Tula,2015,874
Tuva,2015,2682
Tver',2015,1750
Tyumen',2015,2148
Udmurt,2015,1947
Ul'yanovsk,2015,1306
Vladimir,2015,1523
Volgograd,2015,1634
Vologda,2015,2458
Voronezh,2015,1685
Yamal-Nenets,2015,1789
Yaroslavl',2015,1711
Yevrey,2015,2167
Zabaykal'ye,2015,3075
Adygey,2016,1025
Altay,2016,1880
Amur,2016,2321
Arkhangel'sk,2016,1776
Astrakhan',2016,1364
Bashkortostan,2016,1606
Belgorod,2016,884
Bryansk,2016,1293
Buryat,2016,2388
Chechnya,2016,265
Chelyabinsk,2016,1844
Chukot,2016,1600
Chuvash,2016,1119
City of St. Petersburg,2016,996
Dagestan,2016,522
Gorno-Altay,2016,2236
Ingush,2016,376
Irkutsk,2016,1950
Ivanovo,2016,1403
Kabardin-Balkar,2016,889
Kaliningrad,2016,1348
Kalmyk,2016,1060
Kaluga,2016,1600
Kamchatka,2016,1857
Karachay-Cherkess,2016,753
Karelia,2016,2142
Kemerovo,2016,2153
Khabarovsk,2016,2025
Khakass,2016,2057
Khanty-Mansiy,2016,1381
Kirov,2016,1680
Komi,2016,2231
Kostroma,2016,1351
Krasnodar,2016,1290
Krasnoyarsk,2016,1994
Kurgan,2016,2256
Kursk,2016,1087
Leningrad,2016,982
Lipetsk,2016,1070
Magadan,2016,2046
Mariy-El,2016,1053
Mordovia,2016,1052
Moscow City,2016,1407
Moskva,2016,1198
Murmansk,2016,1982
Nenets,2016,1739
Nizhegorod,2016,1237
North Ossetia,2016,1000
Novgorod,2016,1952
Novosibirsk,2016,1631
Omsk,2016,1486
Orel,2016,1230
Orenburg,2016,1367
Penza,2016,916
Perm',2016,1902
Primor'ye,2016,2034
Pskov,2016,1474
Rostov,2016,1363
Ryazan',2016,844
Sakha,2016,1287
Sakhalin,2016,2513
Samara,2016,1376
Saratov,2016,1008
Smolensk,2016,1431
Stavropol',2016,1225
Sverdlovsk,2016,1466
Tambov,2016,1165
Tatarstan,2016,1242
Tomsk,2016,1896
Tula,2016,799
Tuva,2016,3442
Tver',2016,1614
Tyumen',2016,1873
Udmurt,2016,1728
Ul'yanovsk,2016,1221
Vladimir,2016,1373
Volgograd,2016,1525
Vologda,2016,2169
Voronezh,2016,1472
Yamal-Nenets,2016,1495
Yaroslavl',2016,1447
Yevrey,2016,2073
Zabaykal'ye,2016,2744
